Plot_ID	EP_Plot_ID	Exploratory	Latitude	Longitude	Landuse
S999	SEG22	SCH	53.1	13.974	Grassland
S974	SEG41	SCH	53.12	13.854	Grassland
S980	SEG20	SCH	53.1	13.622	Grassland
S988	SEG21	SCH	53.11	13.613	Grassland
S990	SEG9	SCH	53.1	13.613	Grassland
S995	SEG48	SCH	53.1	13.617	Grassland
S850	SEG40	SCH	53.12	13.847	Grassland
S779	SEG46	SCH	52.98	13.832	Grassland
S780	SEG39	SCH	52.98	13.826	Grassland
S801	SEG47	SCH	52.99	13.834	Grassland
S761	SEG24	SCH	53.09	14.8	Grassland
S770	SEG35	SCH	52.98	13.854	Grassland
S719	SEG13	SCH	52.97	13.826	Grassland
S732	SEG33	SCH	52.99	13.847	Grassland
S738	SEG34	SCH	52.98	13.854	Grassland
S690	SEG30	SCH	53.15	13.836	Grassland
S698	SEG31	SCH	53.15	13.846	Grassland
S701	SEG32	SCH	53.15	13.83	Grassland
S706	SEG16	SCH	53.12	14.2	Grassland
S712	SEG4	SCH	53.11	14.6	Grassland
S652	SEG8	SCH	53.11	14.024	Grassland
S658	SEG15	SCH	53.11	14.012	Grassland
S667	SEG5	SCH	53.11	14.2	Grassland
S676	SEG19	SCH	53.12	14.014	Grassland
S612	SEG23	SCH	53.11	14.037	Grassland
S561	SEG12	SCH	53.09	13.972	Grassland
S570	SEG7	SCH	53.09	13.984	Grassland
S573	SEG2	SCH	53.09	13.988	Grassland
S526	SEG3	SCH	53.1	13.998	Grassland
S5100	SEW26	SCH	52.92	13.758	Forest
S5101	SEW21	SCH	52.92	13.746	Forest
S5102	SEW15	SCH	52.91	13.744	Forest
S5104	SEW38	SCH	52.89	13.677	Forest
S5105	SEW27	SCH	52.89	14.4	Forest
S5106	SEW7	SCH	53.11	13.692	Forest
S5107	SEW28	SCH	52.88	13.664	Forest
S5108	SEW34	SCH	52.9	13.857	Forest
S5110	SEW1	SCH	52.9	13.85	Forest
S5111	SEW6	SCH	52.91	13.84	Forest
S5112	SEW3	SCH	52.92	13.642	Forest
S5113	SEW8	SCH	53.19	13.934	Forest
S5114	SEW9	SCH	53.04	13.816	Forest
S5116	SEW31	SCH	52.88	13.98	Forest
S5117	SEW50	SCH	53.04	13.793	Forest
S5070	SEW19	SCH	53.09	13.644	Forest
S5073	SEW10	SCH	53.09	13.648	Forest
S5074	SEW20	SCH	53.09	13.646	Forest
S5075	SEW11	SCH	53.09	13.636	Forest
S5086	SEW36	SCH	52.95	13.75	Forest
S5089	SEW23	SCH	52.95	13.786	Forest
S5090	SEW2	SCH	52.95	13.782	Forest
S5091	SEW37	SCH	52.94	13.782	Forest
S5092	SEW24	SCH	52.89	13.974	Forest
S5094	SEW12	SCH	53.09	13.78	Forest
S5095	SEW25	SCH	52.92	13.762	Forest
S5098	SEW14	SCH	52.92	13.75	Forest
S5038	SEW33	SCH	52.92	13.898	Forest
S505	SEG11	SCH	53.11	13.996	Grassland
S5051	SEW18	SCH	52.86	13.924	Forest
S5060	SEW46	SCH	53.07	13.78	Forest
S5063	SEW47	SCH	53.07	13.777	Forest
S502	SEG10	SCH	53.11	14.6	Grassland
S475	SEW35	SCH	52.91	13.854	Forest
S488	SEW44	SCH	52.92	13.862	Forest
S5001	SEW17	SCH	52.94	13.838	Forest
S467	SEW4	SCH	52.92	13.852	Forest
S414	SEW42	SCH	52.9	13.914	Forest
S421	SEW43	SCH	52.9	13.937	Forest
S438	SEW49	SCH	52.89	13.896	Forest
S384	SEW39	SCH	52.92	13.876	Forest
S391	SEW40	SCH	52.91	13.86	Forest
S397	SEW41	SCH	52.91	13.918	Forest
S353	SEW45	SCH	53.05	13.846	Forest
S360	SEW48	SCH	53.05	13.84	Forest
S292	SEW32	SCH	53.06	13.932	Forest
S260	SEW16	SCH	53.08	13.867	Forest
S219	SEW5	SCH	53.06	13.89	Forest
S213	SEW22	SCH	53.06	13.916	Forest
S217	SEW30	SCH	53.06	13.926	Forest
S156	SEW29	SCH	53.02	13.862	Forest
S154	SEW13	SCH	53.02	13.866	Forest
S1036	SEG37	SCH	53.13	13.884	Grassland
