LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Poa angustifolia	Narrow-leaved Meadow-grass	Schmalblättriges Wiesen-Rispengras	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Poa
Bryophyta	bryophytes	Laubmoose	Plantae	Bryophyta	na	na	na	na
Picea	spruce	Fichte	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea
Picea abies	Norway Spruce, European Spruce	Gemeine Fichte, Rotfichte, Rottanne	Plantae	Tracheophyta	Pinopsida	Pinales	Pinaceae	Picea
Anthriscus sylvestris	Cow Parsley, Wild Chervil, Wild Beaked Parsley, Keck, Queen Annes lace, Mother-die	Wiesenkerbel, Wild-Kälberkropf	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus
Cerastium holosteoides	Common Mouse-Ear Chickweed	Gewöhnliches Hornkraut, Gemeines Hornkraut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Cerastium
Crepis biennis	Rough Hawksbeard	Wiesen-Pippau, Zweijähriger Pippau	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Crepis
Geranium pratense	Meadow Cranes-Bill	Wiesen-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Geranium pyrenaicum	na	Pyrenäen-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Geranium sylvaticum	Wood Cranesbill	Wald-Storchschnabel	Plantae	Tracheophyta	Magnoliopsida	Geraniales	Geraniaceae	Geranium
Heracleum sphondylium	American Cow-Parsnip	Wiesen-Bärenklau, Gemeiner Bärenklau	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Heracleum
Lamium album	White Dead Nettle	Weiße Taubnessel	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamium
Leucanthemum vulgare	oxeye daisy	Magerwiesen-Margerite, Wiesen-Margerite, Wiesen-Wucherblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Leucanthemum
Myosotis arvensis	Field Forget-me-not	Acker-Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Boraginaceae	Myosotis
Ranunculus acris	meadow buttercup, tall buttercup, giant buttercup	Scharfer Hahnenfuß	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculus
Silene dioica	Red campion	Rote Lichtnelke, Rotes Leimkraut, Rote Nachtnelke, Rote Waldnelke, Taglichtnelke, Herrgottsblut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Silene
Taraxacum officinale	common dandelion	Gewöhnliche Löwenzahn	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Taraxacum
Tragopogon pratensis orientalis	Meadow Salsify, Showy Goats-beard, Jack-go-to-bed-at-noon	Östlicher Wiesen-Bocksbart	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Tragopogon
Trifolium pratense	Red Clover, Beebread	Rot-Klee, Wiesenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Veronica arvensis	Corn Speedwell, Common Speedwell, Speedwell, Rock Speedwell, Wall Speedwell	Feld-Ehrenpreis	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Veronica chamaedrys	germander speedwell, Birds-eye Speedwell	Gamander-Ehrenpreis, Männertreu, Frauenbiss, Augentrost, Wildes Vergissmeinnicht	Plantae	Tracheophyta	Magnoliopsida	Scrophulariaceae	Scrophulariaceae	Veronica
Vicia sepium	Bush Vetch	Zaun-Wicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
Carum carvi	Caraway, meridian fennel, Persian cumin	Kümmel, Wiesenkümmel, Gemeiner Kümmel, Echter Kümmel	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Carum
Achillea millefolium	Bloodwort	Gemeine Schafgarbe	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Achillea
Galium mollugo	False Babys Breath	Wiesen-Labkraut, Klein-Wiesen-Labkraut, Weißes Waldstroh, Grasstern, Gemeines Labkraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Rubiaceae	Galium
Plantago lanceolata	English plantain, buckhorn plantain, lanceleaf Indianwheat, lanceleaf plantain, narrowleaf plantain, ribgrass, ribwort	Spitzwegerich, Spießkraut, Lungenblattl, Schlangenzunge	Plantae	Tracheophyta	Magnoliopsida	Plantaginales	Plantaginaceae	Plantago
Trifolium repens	Dutch Clover, Ladino Clover, White Clover	Weiß-Klee, Kriech-Klee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Trifolium
Alchemilla vulgaris	Ladys Mantle, Lions Foot, Common Ladys Mantle, Common Alchemil	Spitzlappiger Frauenmantel, Gemeiner Frauenmantel, Gewöhnlicher Frauenmantel	Plantae	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Alchemilla
Bellis perennis	bruisewort, woundwort, common daisy, lawn daisy, English daisy	Gänseblümchen, Mehrjähriges Gänseblümchen, Maßliebchen, Tausendschön	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Bellis
Capsella bursa-pastoris	shepherds-purse	Gewöhnliches Hirtentäschel, Hirtentäschelkraut	Plantae	Tracheophyta	Magnoliopsida	Capparales	Brassicaceae	Capsella
Valerianella locusta	Corn salad, Lewiston cornsalad, lambs lettuce, fetticus, field salad, mâche, feldsalat, nut lettuce, rapunzel	Gewöhnlicher Feldsalat, Ackersalat, Mausohrsalat, Nüsschen, Nüsslisalat, Rapunzel, Vogerlsalat	Plantae	Tracheophyta	Magnoliopsida	Dipsacales	Valerianaceae	Valerianella
Vicia sativa	Common Vetch, Tare, the vetch	Futterwicke, Saatwicke	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia
